Position,Name,Type,Signal,f,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15
1,PE2,Output,GPIO_Output,MBUS_RST,DEBUG_TRACECLK,,TIM3_ETR,SAI1_CK1,,,,USART6_CK,LTDC_R0,TSC_G7_IO1,,,FMC_A23,SAI1_MCLK_A,,EVENTOUT
2,PE3,Output,GPIO_Output,MBUS_CS,DEBUG_TRACED0,,TIM3_CH1,OCTOSPIM_P1_DQS,,,,USART6_CTS,LTDC_R1,TSC_G7_IO2,,,FMC_A19,SAI1_SD_B,,EVENTOUT
3,PE4,I/O,MDF1_SDI3,MIC_SD3,DEBUG_TRACED1,,TIM3_CH2,SAI1_D2,,,MDF1_SDI3,USART6_DE/USART6_RTS,LTDC_B0,TSC_G7_IO3,DCMI_D4/PSSI_D4,,FMC_A20,SAI1_FS_A,,EVENTOUT
4,PE5,I/O,GPIO_EXTI5,MBUS_INT,DEBUG_TRACED2,,TIM3_CH3,SAI1_CK2,,,MDF1_CKI3,,LTDC_G0,TSC_G7_IO4,DCMI_D6/PSSI_D6,,FMC_A21,SAI1_SCK_A,,EVENTOUT
5,PE6,Input,GPIO_Input,SW_USER,DEBUG_TRACED3,,TIM3_CH4,SAI1_D1,,,,,LTDC_G1,,DCMI_D7/PSSI_D7,,FMC_A22,SAI1_SD_A,,EVENTOUT
6,VBAT,Power,,,,,,,,,,,,,,,,,,
7,PC13,Output,GPIO_Output,SYS_MAIN_GREEN,,,,,,,,,,,,,,,,EVENTOUT
8,PC14-OSC32_IN (PC14),I/O,RCC_OSC32_IN,OSC_32K_IN,,,,,,,,,,,,,,,,EVENTOUT
9,PC15-OSC32_OUT (PC15),I/O,RCC_OSC32_OUT,OSC_32K_OUT,,,,,,,,,,,,,,,,EVENTOUT
10,VSS,Power,,,,,,,,,,,,,,,,,,
11,VDD,Power,,,,,,,,,,,,,,,,,,
12,PH0-OSC_IN (PH0),I/O,RCC_OSC_IN,HSE_OSC_IN,,,,,,,,,,,,,,,,EVENTOUT
13,PH1-OSC_OUT (PH1),I/O,RCC_OSC_OUT,HE_OSC_OUT,,,,,,,,,,,,,,,,EVENTOUT
14,NRST,Reset,,,,,,,,,,,,,,,,,,
15,PC0,I/O,I2C3_SCL,MBUS_SCL,,LPTIM1_IN1,GFXTIM_FCKCAL,OCTOSPIM_P1_IO7,I2C3_SCL,SPI2_RDY,MDF1_SDI4,USART6_CTS,LPUART1_RX,,,GFXTIM_LCKCAL,SDMMC1_D5,SAI2_FS_A,LPTIM2_IN1,EVENTOUT
16,PC1,I/O,I2C3_SDA,MBUS_SDA,DEBUG_TRACED0,LPTIM1_CH1,,SPI2_MOSI,I2C3_SDA,,MDF1_CKI4,USART6_CK,LPUART1_TX,,OCTOSPIM_P1_IO4,,SDMMC2_CK,SAI1_SD_A,,EVENTOUT
17,PC2,I/O,MDF1_CCK1,MIC_CCLK1,,LPTIM1_IN2,,,,SPI2_MISO,MDF1_CCK1,USART6_RX,,,OCTOSPIM_P1_IO5,,,,,EVENTOUT
18,PC3,I/O,SPI2_MOSI,MBUS_MOSI,,LPTIM1_ETR,LPTIM3_CH1,SAI1_D1,,SPI2_MOSI,,USART6_TX,,,OCTOSPIM_P1_IO6,,,SAI1_SD_A,LPTIM2_ETR,EVENTOUT
19,VSSA,Power,,,,,,,,,,,,,,,,,,
20,VREF+,MonoIO,VREFBUF_OUT,,,,,,,,,,,,,,,,,
21,VDDA,Power,,,,,,,,,,,,,,,,,,
22,PA0,I/O,,,,TIM2_CH1,TIM5_CH1,TIM8_ETR,,,SPI3_RDY,USART2_CTS,UART4_TX,,OCTOSPIM_P2_NCS,,SDMMC2_CMD,AUDIOCLK,TIM2_ETR,EVENTOUT
23,PA1,I/O,ADC1_IN6,MBUS_AN,LPTIM1_CH2,TIM2_CH2,TIM5_CH2,,I2C1_SMBA,SPI1_SCK,,USART2_DE/USART2_RTS,UART4_RX,,OCTOSPIM_P1_DQS,,,,TIM15_CH1N,EVENTOUT
24,PA2,I/O,ADC1_IN7,V_ADC_SOLAR,,TIM2_CH3,TIM5_CH3,,,SPI1_RDY,,USART2_TX,LPUART1_TX,,OCTOSPIM_P1_NCS,UCPD1_FRSTX1,,,TIM15_CH1,EVENTOUT
25,PA3,I/O,ADC1_IN8,V_ADC_DC,,TIM2_CH4,TIM5_CH4,SAI1_CK1,,,,USART2_RX,LPUART1_RX,,OCTOSPIM_P1_CLK,,,SAI1_MCLK_A,TIM15_CH2,EVENTOUT
26,VSS,Power,,,,,,,,,,,,,,,,,,
27,VDD,Power,,,,,,,,,,,,,,,,,,
28,PA4,I/O,ADC1_IN9,V_ADC_BATT,,,,OCTOSPIM_P1_NCS,,SPI1_NSS,SPI3_NSS,USART2_CK,,,DCMI_HSYNC/PSSI_DE,,,SAI1_FS_B,LPTIM2_CH1,EVENTOUT
29,PA5,I/O,TIM8_CH1N DAC1_OUT2,BUZ,PWR_CSLEEP,TIM2_CH1,TIM2_ETR,TIM8_CH1N,PSSI_D14,SPI1_SCK,,USART3_RX,,,,,,,LPTIM2_ETR,EVENTOUT
30,PA6,I/O,OPAMP2_VINP,EXT_OPA_VINP,PWR_CDSTOP,TIM1_BKIN,TIM3_CH1,TIM8_BKIN,DCMI_PIXCLK/PSSI_PDCK,SPI1_MISO,,USART3_CTS,LPUART1_CTS,,OCTOSPIM_P1_IO3,,,,TIM16_CH1,EVENTOUT
31,PA7,I/O,OPAMP2_VINM,EXT_OPA_VINM,PWR_SRDSTOP,TIM1_CH1N,TIM3_CH2,TIM8_CH1N,I2C3_SCL,SPI1_MOSI,,USART3_TX,,,OCTOSPIM_P1_IO2,,,LPTIM2_CH2,TIM17_CH1,EVENTOUT
32,PB0,I/O,OPAMP2_VOUT,EXT_OPA_VOUT,,TIM1_CH2N,TIM3_CH3,TIM8_CH2N,LPTIM3_CH1,SPI1_NSS,,USART3_CK,,,OCTOSPIM_P1_IO1,,COMP1_OUT,AUDIOCLK,,EVENTOUT
33,PB1,I/O,ADC1_IN16,EXT_AN_IN,,TIM1_CH3N,TIM3_CH4,TIM8_CH3N,LPTIM3_CH2,,MDF1_SDI0,USART3_DE/USART3_RTS,LPUART1_DE/LPUART1_RTS,,OCTOSPIM_P1_IO0,,,,LPTIM2_IN1,EVENTOUT
34,PB2,I/O,,,,LPTIM1_CH1,,TIM8_CH4N,I2C3_SMBA,SPI1_RDY,MDF1_CKI0,,LTDC_B1,,OCTOSPIM_P1_DQS,UCPD1_FRSTX1,,,,EVENTOUT
35,PE7,I/O,MDF1_SDI2,MIC_SD2,,TIM1_ETR,,,,,MDF1_SDI2,,LTDC_B6,,,,FMC_D4/FMC_DA4,SAI1_SD_B,,EVENTOUT
36,PE8,Output,GPIO_Output,RF_CS,,TIM1_CH1N,,,,,MDF1_CKI2,,LTDC_B7,,,,FMC_D5/FMC_DA5,SAI1_SCK_B,,EVENTOUT
37,PE9,I/O,MDF1_CCK0,MIC_CCLK0,,TIM1_CH1,,ADF1_CCK0,,,MDF1_CCK0,,LTDC_G2,,OCTOSPIM_P1_NCLK,,FMC_D6/FMC_DA6,SAI1_FS_B,,EVENTOUT
38,PE10,Input,GPIO_Input,RF_BUSY,,TIM1_CH2N,,ADF1_SDI0,,,MDF1_SDI4,,LTDC_G3,TSC_G5_IO1,OCTOSPIM_P1_CLK,,FMC_D7/FMC_DA7,SAI1_MCLK_B,,EVENTOUT
39,PE11,Output,GPIO_Output,RF_NRST,,TIM1_CH2,,,,SPI1_RDY,MDF1_CKI4,,LTDC_G4,TSC_G5_IO2,OCTOSPIM_P1_NCS,,FMC_D8/FMC_DA8,,,EVENTOUT
40,PE12,I/O,GPIO_EXTI12,RF_IRQ,,TIM1_CH3N,,,,SPI1_NSS,MDF1_SDI5,,LTDC_G5,TSC_G5_IO3,OCTOSPIM_P1_IO0,,FMC_D9/FMC_DA9,,,EVENTOUT
41,PE13,I/O,SPI1_SCK,RF_SCK,,TIM1_CH3,,,,SPI1_SCK,MDF1_CKI5,,LTDC_G6,TSC_G5_IO4,OCTOSPIM_P1_IO1,,FMC_D10/FMC_DA10,,,EVENTOUT
