"QTY","REFERENCE DESIGNATOR","ITEM DESCRIPTION","SUPPLIER","SUPPLIER PART NO","MANUFACTURER","MANUFACTURER PART NUMBER","LCSC PART NO"
"18","C1,C2,C4,C5,C6,C26,C28,C30,C31,C33,C35,C37,C38,C39,C41,C42,C43,C53","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"26","C3,C7,C8,C9,C10,C11,C16,C18,C19,C25,C27,C29,C32,C34,C36,C40,C44,C45,C46,C47,C48,C49,C50,C51,C52,C54","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"4","C12,C13,C14,C15","18pF 0402 COG/NPO 50V capacitor unpolarized","QUICK-TECK","QCC-00384","YAEGO","CC0402JRNPO9BN180","C106202"
"6","C17,C20,C21,C22,C23,C24","10uF 0805 25V capacitor unpolarized","QUICK-TECK","QCC-00295","SAMSUNG","CL21A106KBYQNNE","C2932476"
"5","D1,D2,D3,D4,D5","MBR130T1G SOD123 1A 30V schottky diode","LCSC","C82461","ON Semiconductor","MBR130T1G","C82461"
"1","D8","0603 blue LED","QUICK-TECK","QCD-00046","YONGYUTAI","YLED0603B","C19171394"
"2","D9,D11","0603 red LED","QUICK-TECK","QCD-00045","YONGYUTAI","YLED0603R","C19171390"
"2","D10,D12","0603 green LED","QUICK-TECK","QCD-00048","YONGYUTAI","YLED0603G","C19273151"
"2","J1,J2","Screw terminal PCB mount 3.5mm pitch 2 terminals","LCSC","C695629","DORABO","DB301V-3.5-2P-GN-S","C695629"
"1","J3","USB 2.0-only Type-C Receptacle connector","LCSC","C2988369","G-Switch","GT-USB-7010ASV","C2988369"
"1","J4","JST 2 pin terminal 2mm pitch vertical entry SMD","LCSC","C160352","JST","B2B-PH-SM4-TB","C160352"
"1","J5","Micro SD socket External Pin","LCSC","C20619272","CUI","MSD-1-A","C20619272"
"2","J6,J10","8 pin SMD female header","MOUSER","640-BG125-8A1144ND","Global Connector Technology"," BG125-08-A-1-1-0440-N-D","C6131506"
"2","J7,J8","4 pin JST 1mm polarized connector for I2C","LCSC","C160404","JST","SM04B-SRSS-TB","C160404"
"1","J9","AMPHENOL ICC 89898-308ALF Socket strip 2x8p","LCSC","C5417482","FCI","89898-308ALF","C5417482"
"2","L1,L2","2.2 uH,  Power Inductor Case:2.5Mm X 2Mm X 1.2Mm 1008 case (2520 metric)","LCSC","C237482","Murata Electronics","DFE252012PD-2R2M=P2","C237482"
"6","MK1,MK2,MK3,MK4,MK5,MK6","Digital MEMS Microphone, LGA-5","MOUSER","726-IM69D129FV01XTMA"," Infineon","IM69D129FV01XTMA1","C43314439"
"9","R1,R2,R13,R15,R31,R32,R33,R34,R38","Resistor 10k 0402","QUICK-TECK","QCR-00076","YAGEO","RC0402JR-0710KL","C60489"
"2","R3,R5","Resistor 180k 0402","QUICK-TECK","QCR-00102","YAGEO","RC0402FR-07180KL","C138046"
"10","R4,R6,R16,R17,R18,R19,R20,R23,R24,R26","Resistor 33k 0402","QUICK-TECK","QCR-00086","UNI-ROYAL(Uniroyal Elec)","0402WGF3302TCE","C25779"
"3","R7,R8,R35","Resistor 22R 0402","QUICK-TECK","QCR-00018","UNI-ROYAL(Uniroyal Elec)"," 0402WGF220JTCE","C25092"
"3","R9,R10,R12","Resistor 5.1k 0402","LCSC","C25905","UNI-ROYAL(Uniroyal Elec)","0402WGF5101TCE","C25905"
"1","R11","Resistor 42.2k E96 0402","LCSC","C276270","YAGEO","RC0402FR-0742K2L","C276270"
"2","R14,R27","Resistor 100k 0402","QUICK-TECK","QCR-00098","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","C25741"
"5","R25,R29,R30,R36,R37","Resistor 2.2k 0402","LCSC","C25879","UNI-ROYAL(Uniroyal Elec)"," 0402WGF2201TCE","C25879"
"1","R28","Resistor 330R 0402","QUICK-TECK","QCR-00042"," UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","C25104"
"3","SW1,SW2,SW3","Push switch, Single Pole Single Throw (SPST) switch","LCSC","C221676","C&K","KMR211NGLFS","C221676"
"1","U1","ARM? Cortex?-M33 STM32U5 Microcontroller IC 32-Bit 160MHz 4MB (4M x 8) FLASH 100-LQFP (14x14)","MOUSER","511-STM32U595VJT6Q","STM","STM32U595VJT6Q","C24591629"
"1","U2","Buck Switching Regulator IC Positive Adjustable 0.4V 1 Output 1A SOT-583","MOUSER","595-TPS629210DRLR","Texas Instruments","TPS629210DRLR","C5219301"
"1","U3","BQ25186 1-Cell, 1A I2C Linear Battery Charger with Power Path, Ship Mode,Shutdown Mode, and Battery Tracking VINDPM","MOUSER","595-BQ25186DLHR","Texas Instruments","BQ25186DLHR","C44639442"
"1","U4","1A Low IQ Small Size Low Dropout Voltage Regulator, Fixed Output 3.3V, WSON6","MOUSER","595-TLV75733PDRVR","Texas Instruments","TLV75733PDRVR","C2868428"
"1","U5","Ebyte E80 LR1121 multi-band LoRa module","LCSC","C42464134"," Chengdu Ebyte Elec Tech","E80-900M2213S","C42464134"
"1","U6","P-Channel 25 V 460mA (Ta) 350mW (Ta) Surface Mount SOT-23-3","LCSC","C5219301","ON Semiconductor","FDV304P","C10884"
"1","U7","L86 is an ultra-compact GNSS POT _Patch on Top_ module with an embedded 18.4mm ? 18.4mm ? 4.0mm patch antenna and utilizes the MediaTek new generation GNSS chipset MT3333 that achieves the perfect performance","LCSC","C909689","Quectel","L86-M33","C909689"
"1","U8","3-Axis Accelerometer, 2/4/8g range, I2C/SPI interface","LCSC","C221446 ","ST","LIS2HH12","C221446 "
"1","U9","Ultra-low-power, 3-axis digital output magnetometer, LGA-12","LCSC","C919695","ST","LIS2MDL","C919695"
"1","U10","Buzzers Transducer, Externally Driven Piezo 3 V 1mA 4kHz 72dB @ 3V, 10cm Surface Mount Solder Pads","MOUSER","179-CPT-9019A-SMT-TR","CUI Same Sky","CPT-9019A-SMT-TR","C20181991"
"1","Y1","16 MHz ?20ppm Crystal 12pF 70 Ohms 4-SMD, No Lead","LCSC","C596903","Abracon","ABM8AIG-16.000MHZ-12-2Z-T3","C596903"
"1","Y2","32.768 kHz ?20ppm Crystal 12.5pF 70 kOhms 2-SMD, No Lead","LCSC","C130253","Abracon","ABS07-32.768KHZ-T","C130253"
