"Reference","Value","Footprint","Description","Q_SUPPLIER","Q_SUPPLIER_PN","MF","MP","LCSC"
"C1","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C2","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C3","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C4","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C5","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C6","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C7","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C8","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C9","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C10","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C11","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C12","18pF NPO","PCM_SparkFun-Capacitor:C_0402_1005Metric","18pF 0402 COG/NPO 50V capacitor unpolarized","QUICK-TECK","QCC-00384","YAEGO","CC0402JRNPO9BN180","C106202"
"C13","18pF NPO","PCM_SparkFun-Capacitor:C_0402_1005Metric","18pF 0402 COG/NPO 50V capacitor unpolarized","QUICK-TECK","QCC-00384","YAEGO","CC0402JRNPO9BN180","C106202"
"C14","18pF NPO","PCM_SparkFun-Capacitor:C_0402_1005Metric","18pF 0402 COG/NPO 50V capacitor unpolarized","QUICK-TECK","QCC-00384","YAEGO","CC0402JRNPO9BN180","C106202"
"C15","18pF NPO","PCM_SparkFun-Capacitor:C_0402_1005Metric","18pF 0402 COG/NPO 50V capacitor unpolarized","QUICK-TECK","QCC-00384","YAEGO","CC0402JRNPO9BN180","C106202"
"C16","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C17","10uF","PCM_SparkFun-Capacitor:C_0805_2012Metric","10uF 0805 25V capacitor unpolarized","QUICK-TECK","QCC-00295","SAMSUNG","CL21A106KBYQNNE","C2932476"
"C18","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C19","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C20","10uF","PCM_SparkFun-Capacitor:C_0805_2012Metric","10uF 0805 25V capacitor unpolarized","QUICK-TECK","QCC-00295","SAMSUNG","CL21A106KBYQNNE","C2932476"
