"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","4.7uF","C_0402_1005Metric","106.669869","-82.923680","45.000000","top"
"C2","4.7uF","C_0402_1005Metric","109.694000","-92.807068","135.000000","top"
"C3","0.1uF","C_0402_1005Metric","112.830000","-95.526668","135.000000","top"
"C4","4.7uF","C_0402_1005Metric","121.209700","-74.606700","-45.000000","top"
"C5","4.7uF","C_0402_1005Metric","131.130000","-91.801668","-135.000000","top"
"C6","4.7uF","C_0402_1005Metric","113.505000","-94.851668","135.000000","top"
"C7","0.1uF","C_0402_1005Metric","110.380000","-92.126668","135.000000","top"
"C8","0.1uF","C_0402_1005Metric","128.119411","-89.487257","45.000000","top"
"C9","0.1uF","C_0402_1005Metric","120.540600","-75.287300","-45.000000","top"
"C10","0.1uF","C_0402_1005Metric","107.319869","-83.598680","45.000000","top"
"C11","0.1uF","C_0402_1005Metric","132.620000","-63.126668","90.000000","top"
"C12","18pF NPO","C_0402_1005Metric","105.530000","-91.126668","-135.000000","top"
"C13","18pF NPO","C_0402_1005Metric","107.322800","-94.451868","45.000000","top"
"C14","18pF NPO","C_0402_1005Metric","111.056600","-98.287268","-135.000000","top"
"C15","18pF NPO","C_0402_1005Metric","107.380000","-92.951668","-135.000000","top"
"C16","0.1uF","C_0402_1005Metric","132.600000","-68.646668","-90.000000","top"
"C17","10uF","C_0805_2012Metric","130.380000","-120.126700","180.000000","top"
"C18","0.1uF","C_0402_1005Metric","126.380000","-124.626700","0.000000","top"
"C19","0.1uF","C_0402_1005Metric","146.790613","-91.846407","0.000000","top"
"C20","10uF","C_0805_2012Metric","125.110000","-110.936668","90.000000","top"
"C21","10uF","C_0805_2012Metric","127.080000","-107.276668","-90.000000","top"
"C22","10uF","C_0805_2012Metric","127.110000","-110.936668","90.000000","top"
"C23","10uF","C_0805_2012Metric","132.330000","-106.636700","0.000000","top"
"C24","10uF","C_0805_2012Metric","136.880000","-100.626700","180.000000","top"
"C25","0.1uF","C_0402_1005Metric","136.350000","-103.626700","0.000000","top"
"C26","4.7uF","C_0402_1005Metric","124.800000","-101.616668","-90.000000","top"
"C27","0.1uF","C_0402_1005Metric","125.800000","-101.616668","-90.000000","top"
"C28","4.7uF","C_0402_1005Metric","119.280000","-109.646700","90.000000","top"
"C29","0.1uF","C_0402_1005Metric","95.380000","-76.126700","90.000000","top"
"C30","4.7uF","C_0402_1005Metric","118.280000","-109.646700","90.000000","top"
"C31","4.7uF","C_0402_1005Metric","96.380000","-76.126700","90.000000","top"
"C32","0.1uF","C_0402_1005Metric","120.205800","-109.646700","90.000000","top"
"C33","4.7uF","C_0402_1005Metric","101.988800","-75.503468","-90.000000","top"
"C34","0.1uF","C_0402_1005Metric","117.280000","-109.646700","90.000000","top"
"C35","4.7uF","C_0402_1005Metric","65.130000","-78.466668","90.000000","top"
"C36","0.1uF","C_0402_1005Metric","66.100000","-78.466668","90.000000","top"
"C37","4.7uF","C_0402_1005Metric","137.860000","-56.126700","0.000000","top"
"C38","4.7uF","C_0402_1005Metric","152.070000","-87.016668","0.000000","top"
"C39","4.7uF","C_0402_1005Metric","127.961001","-130.387908","-90.000000","top"
"C40","0.1uF","C_0402_1005Metric","137.860000","-55.126700","0.000000","top"
"C41","4.7uF","C_0402_1005Metric","87.880000","-131.146700","-90.000000","top"
"C42","4.7uF","C_0402_1005Metric","61.860000","-93.626700","180.000000","top"
"C43","4.7uF","C_0402_1005Metric","85.960000","-51.406668","-90.000000","top"
"C44","0.1uF","C_0402_1005Metric","152.050000","-88.016668","0.000000","top"
"C45","0.1uF","C_0402_1005Metric","127.000000","-130.376668","-90.000000","top"
"C46","0.1uF","C_0402_1005Metric","86.880000","-131.146700","-90.000000","top"
"C47","0.1uF","C_0402_1005Metric","61.860000","-92.626700","180.000000","top"
"C48","0.1uF","C_0402_1005Metric","84.960000","-51.406668","-90.000000","top"
"C49","0.1uF","C_0402_1005Metric","137.930000","-94.934168","-90.000000","top"
"C50","0.1uF","C_0402_1005Metric","142.757500","-92.626668","-90.000000","top"
"C51","0.1uF","C_0402_1005Metric","136.950000","-94.934168","-90.000000","top"
"C52","0.1uF","C_0402_1005Metric","138.950000","-92.606668","-90.000000","top"
"C53","4.7uF","C_0402_1005Metric","143.757500","-92.626668","-90.000000","top"
"C54","0.1uF","C_0402_1005Metric","79.078000","-61.660468","90.000000","top"
"D1","MBR130T1G","DIO_MBR0530T1G","130.880000","-123.126700","0.000000","top"
"D2","MBR130T1G","DIO_MBR0530T1G","146.726647","-90.261770","0.000000","top"
"D3","MBR130T1G","DIO_MBR0530T1G","140.622200","-97.626700","0.000000","top"
"D4","MBR130T1G","DIO_MBR0530T1G","122.880000","-62.626700","90.000000","top"
"D5","MBR130T1G","DIO_MBR0530T1G","129.157700","-110.303268","-90.000000","top"
"D8","Blue","LED_0603_1608Metric_Blue","87.190490","-57.023195","180.000000","top"
"D9","Red","LED_0603_1608Metric_Red","87.190490","-55.523195","180.000000","top"
"D10","Green","LED_0603_1608Metric_Green","87.190490","-54.023195","180.000000","top"
