"Refs","Value","Footprint","Qty","DNP"
"C1","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C2","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C3","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C4","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C5","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C6","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C7","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C8","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C9","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C10","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C11","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C12","18pF X7R","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C13","18pF X7R","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C14","18pF X7R","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C15","18pF X7R","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C16","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C17","10uF","PCM_SparkFun-Capacitor:C_0805_2012Metric","1",""
"C18","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C19","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C20","10uF","PCM_SparkFun-Capacitor:C_0805_2012Metric","1",""
"C21","10uF","PCM_SparkFun-Capacitor:C_0805_2012Metric","1",""
"C22","10uF","PCM_SparkFun-Capacitor:C_0805_2012Metric","1",""
"C23","10uF","PCM_SparkFun-Capacitor:C_0805_2012Metric","1",""
"C24","10uF","PCM_SparkFun-Capacitor:C_0805_2012Metric","1",""
"C25","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C26","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C27","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C28","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C29","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C30","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C31","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C32","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C33","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C34","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C35","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C36","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C37","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C38","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C39","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C40","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C41","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C42","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C43","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C44","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C45","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C46","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C47","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C48","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C49","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C50","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C51","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C52","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C53","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"C54","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","1",""
"D1","MBR130T1G","MBR0530T1G:DIO_MBR0530T1G","1",""
"D2","MBR130T1G","MBR0530T1G:DIO_MBR0530T1G","1",""
"D3","MBR130T1G","MBR0530T1G:DIO_MBR0530T1G","1",""
"D4","MBR130T1G","MBR0530T1G:DIO_MBR0530T1G","1",""
"D5","MBR130T1G","MBR0530T1G:DIO_MBR0530T1G","1",""
"D8","Blue","PCM_SparkFun-LED:LED_0603_1608Metric_Blue","1",""
"D9","Red","PCM_SparkFun-LED:LED_0603_1608Metric_Red","1",""
"D10","Green","PCM_SparkFun-LED:LED_0603_1608Metric_Green","1",""
"D11","Red","PCM_SparkFun-LED:LED_0603_1608Metric_Red","1",""
"D12","Green","PCM_SparkFun-LED:LED_0603_1608Metric_Green","1",""
"J1","3.5mm","PCM_SparkFun-Connector:ScrewTerminal_1x02_P3.5mm_Horizontal_Black","1",""
"J2","3.5mm","PCM_SparkFun-Connector:ScrewTerminal_1x02_P3.5mm_Horizontal_Black","1",""
"J3","USB_C_Receptacle","PCM_SparkFun-Connector:USB-C_16","1",""
"J4","B2B-PH-SM4-TB","B2B-PH-SM4-TB:JST_B2B-PH-SM4-TB","1",""
"J5","microSD","PCM_SparkFun-Connector:microSD_External_Pin","1",""
"J6","Conn_01x08","PCM_SparkFun-Connector:1x08_P2.54mm_Socket_Vertical_SMD_Pin1RightDown","1",""
"J7","Qwiic_RA","PCM_SparkFun-Connector:JST_1x04_P1.0mm_Horizontal_SMD","1",""
"J8","Qwiic_RA","PCM_SparkFun-Connector:JST_1x04_P1.0mm_Horizontal_SMD","1",""
"J9","89898-308ALF","89898-308ALF:AMPHENOL_89898-308ALF","1",""
"J10","Conn_01x08","PCM_SparkFun-Connector:1x08_P2.54mm_Socket_Vertical_SMD_Pin1RightDown","1",""
"JP1","~","PCM_SparkFun-Jumper:Jumper_2_NC_Trace","1",""
"JP2","~","PCM_SparkFun-Jumper:Jumper_2_NO","1",""
"JP3","~","PCM_SparkFun-Jumper:Jumper_2_NC_Trace","1",""
"JP4","~","PCM_SparkFun-Jumper:Jumper_2_NC_Trace","1",""
"JP5","~","PCM_SparkFun-Jumper:Jumper_2_NC_Trace","1",""
"JP6","~","PCM_SparkFun-Jumper:Jumper_2_NC_Trace","1",""
"JP7","~","PCM_SparkFun-Jumper:Jumper_2_NC_Trace","1",""
"JP8","~","PCM_SparkFun-Jumper:Jumper_2_NC_Trace","1",""
"L1","DFE252012PD-2R2M=P2","DFE252012PD-2R2M_P2:INDC2520X120N","1",""
"L2","DFE252012PD-2R2M=P2","DFE252012PD-2R2M_P2:INDC2520X120N","1",""
"MK1","IM69D129FV01","Sensor_Audio:Knowles_LGA-5_3.5x2.65mm","1",""
"MK2","IM69D129FV01","Sensor_Audio:Knowles_LGA-5_3.5x2.65mm","1",""
"MK3","IM69D129FV01","Sensor_Audio:Knowles_LGA-5_3.5x2.65mm","1",""
"MK4","IM69D129FV01","Sensor_Audio:Knowles_LGA-5_3.5x2.65mm","1",""
"MK5","IM69D129FV01","Sensor_Audio:Knowles_LGA-5_3.5x2.65mm","1",""
